Moving Out: Home Tour|https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2017/11/cropped2.jpg?resize=1380%2C910|November 21, 2017|http://www.snapshotsofsimplicity.com/2017/11/21/moving-out-home-tour/|Snapshots of Simplicity|moving out home tour|
5K Giveaway|https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2017/07/IMG_5588.jpg?resize=1380%2C910|July 26, 2017|http://www.snapshotsofsimplicity.com/2017/07/26/5k-giveaway/|Snapshots of Simplicity|5k giveaway|
The Classic White Shirt|https://i0.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2017/07/IMG_5688.gif?resize=1380%2C910|July 18, 2017|http://www.snapshotsofsimplicity.com/2017/07/18/the-classic-white-shirt/|Snapshots of Simplicity|the classic white shirt|
My Mindful Morning Routine|https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2017/06/IMG_5509.jpg?resize=1380%2C910|June 30, 2017|http://www.snapshotsofsimplicity.com/2017/06/30/my-mindful-morning-routine/|Snapshots of Simplicity|my mindful morning routine|
Minimalist Room Tour|https://i0.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2017/06/IMG_5497.jpg?resize=1380%2C910|June 9, 2017|http://www.snapshotsofsimplicity.com/2017/06/09/minimalist-room-tour/|Snapshots of Simplicity|minimalist room tour|
Vegan Carrot Cupcakes|https://i0.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2017/06/IMG_5223.jpg?resize=1380%2C910|June 2, 2017|http://www.snapshotsofsimplicity.com/2017/06/02/vegan-carrot-cupcakes/|Snapshots of Simplicity|vegan carrot cupcakes|
Solving Plastic Bag Waste Overseas: Up-fuse|https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2017/05/IMG_5170.jpg?resize=1380%2C910|May 25, 2017|http://www.snapshotsofsimplicity.com/2017/05/25/solving-plastic-bag-waste-overseas-up-fuse/|Snapshots of Simplicity|solving plastic bag waste overseas upfuse|
The Passionate Pursuit of Ethical Hairpins: S A Y A Designs|https://i0.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2017/05/DSF2895.jpg?resize=1380%2C910|May 12, 2017|http://www.snapshotsofsimplicity.com/2017/05/12/the-passionate-pursuit-of-ethical-hairpins-s-a-y-a-designs/|Snapshots of Simplicity|the passionate pursuit ethical hairpins s y designs|
My Minimalist Wardrobe|https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2017/05/IMG_4997.jpg?resize=1380%2C910|May 5, 2017|http://www.snapshotsofsimplicity.com/2017/05/05/my-minimalist-wardrobe/|Snapshots of Simplicity|my minimalist wardrobe|
1, 2, 3’s of Zero Waste|https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2017/03/IMG_4983.jpg?resize=1380%2C910|March 10, 2017|http://www.snapshotsofsimplicity.com/2017/03/10/1-2-3s-of-zero-waste/|Snapshots of Simplicity|1 3s zero waste|
Perfectly Imperfect, Zero Waste|https://i0.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2017/02/IMG_4850.jpg?resize=1380%2C910|February 10, 2017|http://www.snapshotsofsimplicity.com/2017/02/10/perfectly-imperfect-zero-waste/|Snapshots of Simplicity|perfectly imperfect zero waste|
Tea with Christine: Updates and a Big, Big Thank You|https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/11/DSC0005.jpg?resize=1380%2C910|November 4, 2016|http://www.snapshotsofsimplicity.com/2016/11/04/tea-with-christine-updates-and-a-big-big-thank-you/|Snapshots of Simplicity|tea christine updates big big thank you|
A Simple, Rainy, Sick Day|https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/10/DSF2299.jpg?resize=1380%2C910|October 21, 2016|http://www.snapshotsofsimplicity.com/2016/10/21/a-simple-rainy-sick-day/|Snapshots of Simplicity|a simple rainy sick|
Simplify Your Stuff: Recycling|https://i0.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/10/DSF2267.jpg?resize=1380%2C910|October 14, 2016|http://www.snapshotsofsimplicity.com/2016/10/14/simplify-your-stuff-recycling/|Snapshots of Simplicity|simplify your stuff recycling|
Tea with Christine: Zero Waste Tag|https://i0.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/10/DSF2246.jpg?resize=1380%2C910|October 7, 2016|http://www.snapshotsofsimplicity.com/2016/10/07/tea-with-christine-zero-waste-tag/|Snapshots of Simplicity|tea christine zero waste tag|
My Everyday Bathroom Routine|https://i0.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/09/DSC0021.jpg?resize=1380%2C910|September 30, 2016|http://www.snapshotsofsimplicity.com/2016/09/30/my-everyday-bathroom-routine/|Snapshots of Simplicity|my everyday bathroom routine|
Simplify Your Stuff: Decluttering|https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/09/DSC0014.jpg?resize=1380%2C910|September 23, 2016|http://www.snapshotsofsimplicity.com/2016/09/23/simplify-your-stuff-decluttering/|Snapshots of Simplicity|simplify your stuff decluttering|
What’s in my Tote Bag|https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/09/DSF2129.jpg?resize=1380%2C910|September 16, 2016|http://www.snapshotsofsimplicity.com/2016/09/16/whats-in-my-tote-bag/|Snapshots of Simplicity|whats tote bag|
How I Compost|https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/09/DSF2070.jpg?resize=1380%2C910|September 10, 2016|http://www.snapshotsofsimplicity.com/2016/09/10/how-i-compost/|Snapshots of Simplicity|how i compost|
