Fixing Old Fruit: Fruit Crisp	https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/09/DSF1978.jpg?resize=1380%2C910	9-Sep-16	http://www.snapshotsofsimplicity.com/2016/09/09/fixing-old-fruit-fruit-crisp/	Literless	Fixing Old Fruit Fruit Crisp
Salvaging Stale Bread: Simple Croutons	https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/09/DSF2032-1.jpg?resize=1380%2C910	8-Sep-16	http://www.snapshotsofsimplicity.com/2016/09/08/salvaging-stale-bread-simple-croutons/	Literless	Salvaging Stale Bread Simple Croutons
Packing to Prevent Food Waste	https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/09/DSF2104.jpg?resize=1380%2C910	7-Sep-16	http://www.snapshotsofsimplicity.com/2016/09/07/packing-to-prevent-food-waste/	Literless	Packing Prevent Food Waste
How to Plan for No Food Waste	https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/09/DSF2102.jpg?resize=1380%2C910	6-Sep-16	http://www.snapshotsofsimplicity.com/2016/09/06/how-to-plan-for-no-food-waste/	Literless	Plan Food Waste
Reflections On Living One Year Zero Waste	https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/09/DSF2052.jpg?resize=1380%2C910	2-Sep-16	http://www.snapshotsofsimplicity.com/2016/09/02/reflections-on-living-one-year-zero-waste/	Literless	Reflections Living One Year Zero Waste
Searching for a Sustainable Yoga Mat	https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/08/DSF1938.jpg?resize=1380%2C910	26-Aug-16	http://www.snapshotsofsimplicity.com/2016/08/26/searching-for-a-sustainable-yoga-mat/	Literless	Searching Sustainable Yoga Mat
Better Bags from the Basic Bottle	https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/08/Hamilton-Perkins-Cover.jpg?resize=1280%2C854	19-Aug-16	http://www.snapshotsofsimplicity.com/2016/08/19/better-bags-from-the-basic-bottle/	Literless	Better Bags Basic Bottle
Tips for Flying with Less Waste	https://i1.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/08/DSF1834.jpg?resize=1380%2C910	12-Aug-16	http://www.snapshotsofsimplicity.com/2016/08/12/tips-for-flying-with-less-waste/	Literless	Tips Flying Less Waste
Ten Simple Pleasures from Germany	https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/08/DSF1597.jpg?resize=1380%2C910	3-Aug-16	http://www.snapshotsofsimplicity.com/2016/08/03/ten-simple-pleasures-from-germany/	Literless	Ten Simple Pleasures Germany
Hello to Myself	https://i2.wp.com/www.snapshotsofsimplicity.com/wp-content/uploads/2016/07/DSF1653.jpg?resize=1380%2C910	20-Jul-16	http://www.snapshotsofsimplicity.com/2016/07/20/hello-to-myself/	Literless	Hello Myself
